brand,item_num,total-sizes,buyma_id,buyma_num,buyma_color,buyma_sizes,shop_name,price_memo,present_price,lowest_price,buyer_name,buyer_url,partition_price,change_price
PRADA,GEPX961UO8F0008,/31/34/30/33/32,52105233,GEPX961UO8F0008,GEPX961UO8F0008,"38/買付可/,40/在庫なし/,42/在庫なし/,44/在庫なし/,46/在庫なし/,48/在庫なし/,50/在庫なし/,52/在庫なし/,54/在庫なし/,56/在庫なし/,58/在庫なし/,60/在庫なし/,",Amr,53800,70300,59856,Ciao Italia,https://www.buyma.com/buyer/5824366.html,63593,70300
PRADA,GEP3121UO8F0008,/31/30/33/32,52105165,GEP3121UO8F0008,GEP3121UO8F0008,"38/買付可/,40/在庫なし/,42/在庫なし/,44/在庫なし/,46/在庫なし/,48/在庫なし/,50/在庫なし/,52/在庫なし/,54/在庫なし/,56/在庫なし/,58/在庫なし/,60/在庫なし/,",Amr,61000,79600,65419,Ciao Italia,https://www.buyma.com/buyer/5824366.html,72104,79600
,NotFound,,52103672,1MC2082B0XF0002,NERO,"FREE/買付可/,",,,,28300,lusso.premio,https://www.buyma.com/buyer/7488199.html,,
PRADA,1TM44B2EM0F068Z,/FREE,52100455,1TM44B2EM0F068Z,FUOCO,"FREE/買付可/,",Amr,25200,33000,33000,lusso.premio,https://www.buyma.com/buyer/7488199.html,29787,32934
PRADA,1JO3682CDYF0XSY,/FREE,52099733,1JO3682CDYF0XSY,CARAMEL,"FREE/買付可/,",Amr,39500,51600,51600,lusso.premio,https://www.buyma.com/buyer/7488199.html,46690,51496
PRADA,1JO3682CDYF0XSZ,/FREE,52099684,1JO3682CDYF0XSZ,CARAMEL,"FREE/買付可/,",Amr,39500,51600,51600,lusso.premio,https://www.buyma.com/buyer/7488199.html,46690,51496
PRADA,1JO3682CDYF0089,/FREE,52099632,1JO3682CDYF0089,GREEN,"FREE/買付可/,",Amr,39500,51600,51600,lusso.premio,https://www.buyma.com/buyer/7488199.html,46690,51496
PRADA,1BD120OBH2BB0F0964,/FREE,52098080,1BD120OBH2BB0F0964,BIANCO+NERO,"FREE/買付可/,",Amr,136000,160678,160678,lusso.premio,https://www.buyma.com/buyer/7488199.html,160756,160678
PRADA,1BG439VROOZKIF0UB0,/FREE,52097429,1BG439VROOZKIF0UB0,1BG439VROOZKIF0UB0,"FREE/買付可/,",Amr,68100,88223,78000,MAMMALENA,https://www.buyma.com/buyer/3827444.html,80496,88223
PRADA,1BD239VOLO2A4AF0002,/FREE,52096248,1BD239VOLO2A4AF0002,1BD239VOLO2A4AF0002,"FREE/買付可/,",Amr,139600,182200,145817,Ciao Italia,https://www.buyma.com/buyer/5824366.html,165011,182200
PRADA,1BC0722D8OF0UMU,/FREE,52095602,1BC0722D8OF0UMU,1BC0722D8OF0UMU,"FREE/買付可/,",Amr,68100,88223,88223,lusso.premio,https://www.buyma.com/buyer/7488199.html,80496,88046
,NotFound,,52095464,1NE0272CKIF0D9A,NERO+FUOCO,"FREE/買付可/,",,,,55300,lusso.premio,https://www.buyma.com/buyer/7488199.html,,
PRADA,1T941LF03589CF0U69,/36/39/40/37/38,52094976,1T941LF03589CF0U69,1T941LF03589CF0U69,"34/在庫なし/,34.5/在庫なし/,35/在庫なし/,35.5/在庫なし/,36/買付可/,36.5/在庫なし/,37/買付可/,37.5/在庫なし/,38/買付可/,38.5/在庫なし/,39/買付可/,39.5/在庫なし/,40/買付可/,40.5/在庫なし/,41/在庫なし/,41.5/在庫なし/,42/在庫なし/,42.5/在庫なし/,43/在庫なし/,",Amr,46700,60900,60900,lusso.premio,https://www.buyma.com/buyer/7488199.html,55200,60778
PRADA,1XX556F010248F0009,/39/40/37/38,52094192,1XX556F010248F0009,1XX556F010248F0009,"34/在庫なし/,34.5/在庫なし/,35/在庫なし/,35.5/在庫なし/,36/買付可/,36.5/在庫なし/,37/買付可/,37.5/在庫なし/,38/買付可/,38.5/在庫なし/,39/買付可/,39.5/在庫なし/,40/買付可/,40.5/在庫なし/,41/在庫なし/,41.5/在庫なし/,42/在庫なし/,42.5/在庫なし/,43/在庫なし/,",Amr,39500,49800,49800,lusso.premio,https://www.buyma.com/buyer/7488199.html,46690,49700
PRADA,1I939F068F0008,/39/37.5/38.5/35.5,52093371,1I939F068F0008,1I939F068F0008,"34/在庫なし/,34.5/在庫なし/,35/在庫なし/,35.5/買付可/,36/在庫なし/,36.5/在庫なし/,37/在庫なし/,37.5/買付可/,38/在庫なし/,38.5/買付可/,39/買付可/,39.5/在庫なし/,40/在庫なし/,40.5/在庫なし/,41/在庫なし/,41.5/在庫なし/,42/在庫なし/,42.5/在庫なし/,43/在庫なし/,",Amr,47400,61900,61900,lusso.premio,https://www.buyma.com/buyer/7488199.html,56028,61776
OFFWHITE,OMYA065R203860087110,/30/31,52088888,OMYA065R203860087110,BLEACHBLACK,"38/買付可/,40/在庫なし/,42/在庫なし/,44/在庫なし/,46/在庫なし/,48/在庫なし/,50/在庫なし/,52/在庫なし/,54/在庫なし/,56/在庫なし/,58/在庫なし/,60/在庫なし/,",MyRedQueen,52315,73300,62600,yuvirgo,https://www.buyma.com/buyer/1163448.html,61838,62474
OFFWHITE,OMNA053R208530381001,/FREE,52088807,OMNA053R208530381001,BLACKWHITE,"FREE/買付可/,",MyRedQueen,32427,42300,38214,Ciao Italia,https://www.buyma.com/buyer/5824366.html,38329,42300
OFFWHITE,OMAA027R201850051001,/XL/L/S/XS,52035298,OMAA027R201850051001,BLACKWHITE,"XXS/在庫なし/,XS/買付可/,S/買付可/,M/在庫なし/,L/買付可/,XL/買付可/,XXL/在庫なし/,XXXL/在庫なし/,",MyRedQueen,24301,31700,24370,Ciao Italia,https://www.buyma.com/buyer/5824366.html,28724,31700
OFFWHITE,OMBB037R20E300141088,/S/L/XS,52035156,OMBB037R20E300141088,BLACKMULTIC,"XXS/在庫なし/,XS/買付可/,S/買付可/,M/在庫なし/,L/買付可/,XL/在庫なし/,XXL/在庫なし/,XXXL/在庫なし/,",MyRedQueen,41009,53500,45750,yuvirgo,https://www.buyma.com/buyer/1163448.html,48473,53500
